cabin_number,category_code,is_virtual_balcony,is_promenade_view,is_misclassified
3800,1V,false,false,false
3801,1V,false,false,false
3802,1V,false,false,false
3803,2V,false,false,false
3805,1V,false,false,false
3806,1R,false,false,false
3807,2V,false,false,false
3808,1V,false,false,false
3809,2V,false,false,false
3810,1V,false,false,false
3811,1V,false,false,false
3812,1V,false,false,false
3813,2V,false,false,false
3814,1V,false,false,false
3815,1V,false,false,false
3816,1V,false,false,false
3817,2V,false,false,false
3818,2V,false,false,false
3819,1V,false,false,false
3820,2V,false,false,false
3821,2V,false,false,false
3822,2V,false,false,false
3823,1V,false,false,false
3824,1V,false,false,false
3825,2V,false,false,false
3826,2V,false,false,false
3827,1V,false,false,false
3828,1V,false,false,false
3829,2V,false,false,false
3830,1V,false,false,false
3832,2V,false,false,false
3834,2V,false,false,false
3836,2V,false,false,false
3837,1V,false,false,false
3838,1V,false,false,false
3839,2V,false,false,false
3840,2V,false,false,false
3841,1V,false,false,false
3842,1V,false,false,false
3843,2V,false,false,false
3844,2V,false,false,false
3846,1V,false,false,false
3848,2V,false,false,false
3850,1V,false,false,false
3852,2V,false,false,false
3856,2V,false,false,false
3858,2V,false,false,false
3860,2V,false,false,false
4660,2W,false,false,false
4684,2W,false,false,false
4686,2W,false,false,false
6135,4U,true,false,false
6137,6V,false,false,true
6139,4U,true,false,false
6141,6V,false,false,true
6143,6V,false,false,true
6147,4U,true,false,false
6149,4U,true,false,false
6153,6V,false,false,true
6185,1V,false,false,false
6189,1V,false,false,false
6191,2V,false,false,false
6193,1V,false,false,false
6277,6V,false,false,true
6535,3V,false,false,false
6537,4U,true,false,false
6539,3V,false,false,false
6541,4U,true,false,false
6543,3V,false,false,false
6545,4U,true,false,false
6547,3V,false,false,false
6549,4U,true,false,false
6551,3V,false,false,false
6553,4U,true,false,false
6585,2V,false,false,false
6587,2V,false,false,false
6589,2V,false,false,false
6591,2V,false,false,false
6593,2V,false,false,false
6595,1V,false,false,false
6597,2V,false,false,false
6599,1V,false,false,false
6601,2V,false,false,false
6603,1V,false,false,false
6605,2V,false,false,false
6667,3V,false,false,false
6677,6V,false,false,true
7101,6V,false,false,true
7112,6V,false,false,true
7114,6V,false,false,true
7117,6V,false,false,true
7131,6V,false,false,true
7133,6V,false,false,true
7135,6V,false,false,true
7137,6V,false,false,true
7139,6V,false,false,true
7141,6V,false,false,true
7143,6V,false,false,true
7145,3V,false,false,false
7147,6V,false,false,true
7149,3V,false,false,false
7151,6V,false,false,true
7153,3V,false,false,false
7185,2T,false,true,false
7187,2T,false,true,false
7189,2T,false,true,false
7191,2T,false,true,false
7193,1V,false,false,false
7195,2V,false,false,false
7197,2T,false,true,false
7199,2T,false,true,false
7201,2T,false,true,false
7203,2T,false,true,false
7205,2T,false,true,false
7240,J4,false,false,true
7271,6V,false,false,true
7273,6V,false,false,true
7275,6V,false,false,true
7277,6V,false,false,true
7319,2T,false,true,false
7321,2T,false,true,false
7323,2T,false,true,false
7325,2T,false,true,false
7400,6V,false,false,true
7402,4U,true,false,false
7404,6V,false,false,true
7405,6V,false,false,true
7406,4U,true,false,false
7407,6V,false,false,true
7408,6V,false,false,true
7409,6V,false,false,true
7410,4U,true,false,false
7411,6V,false,false,true
7412,6V,false,false,true
7413,6V,false,false,true
7414,6V,false,false,true
7415,6V,false,false,true
7416,4U,true,false,false
7418,6V,false,false,true
7420,4U,true,false,false
7422,4U,true,false,false
7423,3V,false,false,false
7424,6V,false,false,true
7425,6V,false,false,true
7427,3V,false,false,false
7429,6V,false,false,true
7430,4U,true,false,false
7431,3V,false,false,false
7432,6V,false,false,true
7433,6V,false,false,true
7434,4U,true,false,false
7435,3V,false,false,false
7436,3V,false,false,false
7437,6V,false,false,true
7438,4U,true,false,false
7439,3V,false,false,false
7440,3V,false,false,false
7441,6V,false,false,true
7442,4U,true,false,false
7443,3V,false,false,false
7444,3V,false,false,false
7445,6V,false,false,true
